team,appearances,titles,matches,wins,draws,losses,goals_for,goals_against,win_percentage
Brazil,23,5,119,79,20,20,247.0,112.0,66.39
Italy,18,4,83,45,21,17,128.0,77.0,54.22
Argentina,19,3,96,54,17,25,171.0,109.0,56.25
West Germany,9,3,56,31,14,11,106.0,63.0,55.36
France,17,2,81,45,14,22,156.0,95.0,55.56
Spain,17,2,75,38,18,19,122.0,76.0,50.67
Uruguay,15,2,62,25,15,22,92.0,80.0,40.32
Germany,12,1,60,39,8,13,137.0,72.0,65.0
England,17,1,82,38,23,21,124.0,80.0,46.34
Netherlands,12,0,59,32,16,11,107.0,57.0,54.24
Belgium,15,0,57,24,12,21,83.0,81.0,42.11
Mexico,18,0,65,21,15,29,72.0,104.0,32.31
Sweden,13,0,55,20,14,21,87.0,83.0,36.36
Portugal,9,0,40,19,8,13,69.0,44.0,47.5
Switzerland,13,0,47,17,10,20,65.0,79.0,36.17
Poland,9,0,38,17,6,15,49.0,50.0,44.74
Hungary,9,0,32,15,3,14,87.0,57.0,46.88
Soviet Union,7,0,31,15,6,10,53.0,34.0,48.39
Croatia,7,0,34,15,8,11,49.0,40.0,44.12
Yugoslavia,8,0,33,14,7,12,55.0,42.0,42.42
Austria,8,0,33,13,5,15,49.0,56.0,39.39
United States,12,0,42,12,8,22,51.0,74.0,28.57
Colombia,7,0,27,12,5,10,37.0,31.0,44.44
Czechoslovakia,8,0,30,11,5,14,44.0,45.0,36.67
Chile,9,0,33,11,7,15,40.0,49.0,33.33
Denmark,6,0,23,9,6,8,31.0,29.0,39.13
Korea Republic,12,0,41,8,10,23,41.0,81.0,19.51
Japan,8,0,29,8,8,13,33.0,38.0,27.59
Paraguay,9,0,32,8,12,12,33.0,44.0,25.0
Morocco,7,0,29,8,9,12,30.0,33.0,27.59
Romania,7,0,21,8,5,8,30.0,32.0,38.1
Senegal,4,0,16,6,3,7,26.0,26.0,37.5
Nigeria,6,0,21,6,3,12,23.0,30.0,28.57
Türkiye,3,0,13,6,1,6,23.0,22.0,46.15
Costa Rica,6,0,21,6,5,10,22.0,39.0,28.57
Ghana,5,0,19,6,4,9,20.0,26.0,31.58
Norway,4,0,14,6,3,5,20.0,19.0,42.86
Ecuador,5,0,17,6,3,8,16.0,18.0,35.29
Scotland,9,0,26,5,7,14,26.0,45.0,19.23
Cameroon,8,0,26,5,8,13,22.0,47.0,19.23
Peru,5,0,18,5,3,10,21.0,33.0,27.78
Australia,7,0,24,5,6,13,20.0,40.0,20.83
Côte d'Ivoire,4,0,13,5,1,7,18.0,18.0,38.46
Russia,4,0,14,4,4,6,24.0,20.0,28.57
Algeria,5,0,17,4,4,9,18.0,28.0,23.53
Saudi Arabia,7,0,22,4,4,14,15.0,49.0,18.18
Bulgaria,7,0,26,3,8,15,22.0,53.0,11.54
IR Iran,7,0,21,3,7,11,16.0,34.0,14.29
Tunisia,7,0,21,3,5,13,16.0,38.0,14.29
Northern Ireland,3,0,13,3,5,5,13.0,23.0,23.08
South Africa,4,0,13,3,5,5,13.0,20.0,23.08
