year,host,champion,runner_up,teams,matches,goals,goals_per_match,host_won
1930,Uruguay,Uruguay,Argentina,13,18,70,3.89,No
1934,Italy,Italy,Czechoslovakia,16,17,70,4.12,Yes
1938,France,Italy,Hungary,15,18,84,4.67,Yes
1950,Brazil,Uruguay,Brazil,13,22,88,4.0,No
1954,Switzerland,West Germany,Hungary,16,26,140,5.38,No
1958,Sweden,Brazil,Sweden,16,35,126,3.6,No
1962,Chile,Brazil,Czechoslovakia,16,32,89,2.78,No
1966,England,England,West Germany,16,32,89,2.78,Yes
1970,Mexico,Brazil,Italy,16,32,95,2.97,No
1974,West Germany,West Germany,Netherlands,16,38,97,2.55,Yes
1978,Argentina,Argentina,Netherlands,16,38,102,2.68,Yes
1982,Spain,Italy,West Germany,24,52,146,2.81,No
1986,Mexico,Argentina,West Germany,24,52,132,2.54,No
1990,Italy,West Germany,Argentina,24,52,115,2.21,No
1994,United States,Brazil,Italy,24,52,141,2.71,No
1998,France,France,Brazil,32,64,171,2.67,Yes
2002,South Korea / Japan,Brazil,Germany,32,64,161,2.52,No
2006,Germany,Italy,France,32,64,147,2.3,No
2010,South Africa,Spain,Netherlands,32,64,145,2.27,No
2014,Brazil,Germany,Argentina,32,64,171,2.67,No
2018,Russia,France,Croatia,32,64,169,2.64,No
2022,Qatar,Argentina,France,32,64,172,2.69,No
2026,United States / Mexico / Canada,Spain,Argentina,48,104,302,2.9,No
