rank,player,country,assists,tournaments,note
1,Lionel Messi,Argentina,12,"2006, 2010, 2014, 2018, 2022, 2026",
2,Diego Maradona,Argentina,8,"1982, 1986, 1990, 1994",
2,Uwe Seeler,West Germany,8,"1958, 1962, 1966, 1970",
2,Pelé,Brazil,8,"1958, 1962, 1966, 1970",
2,Didi,Brazil,8,"1954, 1958, 1962",
6,Michael Olise,France,7,2026,Set the single-tournament record with 7
6,Grzegorz Lato,Poland,7,"1974, 1978, 1982",
6,Pierre Littbarski,West Germany,7,"1982, 1986, 1990",
6,Raymond Kopa,France,7,"1954, 1958",
10,Thomas Müller,Germany,6,"2010, 2014, 2018, 2022",
