rank,player,country,goals,matches_played,tournaments,note
1,Kylian Mbappé,France,22,21,"2018, 2022, 2026",
2,Lionel Messi,Argentina,21,34,"2006, 2010, 2014, 2018, 2022, 2026",
3,Miroslav Klose,Germany,16,24,"2002, 2006, 2010, 2014",
4,Ronaldo Nazário,Brazil,15,19,"1994, 1998, 2002, 2006",
5,Gerd Müller,West Germany,14,13,"1970, 1974",
6,Harry Kane,England,14,21,"2018, 2022, 2026",
7,Just Fontaine,France,13,6,1958,
8,Pelé,Brazil,12,14,"1958, 1962, 1966, 1970",
9,Sándor Kocsis,Hungary,11,5,1954,
10,Jürgen Klinsmann,Germany,11,17,"1990, 1994, 1998",
