year,host,golden_ball_player,golden_ball_country,golden_boot_player,golden_boot_country,golden_boot_goals,golden_glove_player,golden_glove_country,silver_ball_player,silver_ball_country,bronze_ball_player,bronze_ball_country,silver_boot_player,silver_boot_country,silver_boot_goals,bronze_boot_player,bronze_boot_country,bronze_boot_goals,golden_ball_matches,golden_ball_assists,silver_ball_matches,silver_ball_assists,bronze_ball_matches,bronze_ball_assists,golden_boot_matches,silver_boot_matches,bronze_boot_matches,golden_glove_matches,golden_glove_clean_sheets,golden_glove_goals_conceded
1930,Uruguay,José Nasazzi,Uruguay,Guillermo Stábile,Argentina,8,,,,,,,José Pedro Cea,Uruguay,5.0,Guillermo Subiabre,Chile,4.0,4,,,,,,4,4,3,,,
1934,Italy,Giuseppe Meazza,Italy,Oldřich Nejedlý,Czechoslovakia,5,,,,,,,Edmund Conen,Germany,4.0,Angelo Schiavio,Italy,4.0,5,2.0,,,,,4,4,4,,,
1938,France,Leônidas,Brazil,Leônidas,Brazil,8,,,,,,,György Sárosi,Hungary,5.0,Gyula Zsengellér,Hungary,5.0,4,,,,,,4,5,5,,,
1950,Brazil,Zizinho,Brazil,Ademir,Brazil,9,,,,,,,Oscar Míguez,Uruguay,5.0,Chico,Brazil,4.0,4,3.0,,,,,6,5,4,,,
1954,Switzerland,Ferenc Puskás,Hungary,Sándor Kocsis,Hungary,11,,,,,,,Josef Hügi,Switzerland,6.0,Max Morlock,West Germany,6.0,3,3.0,,,,,5,3,5,,,
1958,Sweden,Didi,Brazil,Just Fontaine,France,13,,,,,,,Pelé,Brazil,6.0,Helmut Rahn,West Germany,6.0,6,6.0,,,,,6,4,6,,,
1962,Chile,Garrincha,Brazil,Garrincha|Vavá|Flórián Albert|Valentin Ivanov|Dražan Jerković|Leonel Sánchez,Brazil|Brazil|Hungary|Soviet Union|Yugoslavia|Chile,4,,,,,,,,,,,,,6,3.0,,,,,,,,,,
1966,England,Bobby Charlton,England,Eusébio,Portugal,9,,,,,,,Helmut Haller,West Germany,6.0,Valeriy Porkujan,Soviet Union,4.0,6,0.0,,,,,6,5,3,,,
1970,Mexico,Pelé,Brazil,Gerd Müller,West Germany,10,,,,,,,Teófilo Cubillas,Peru,5.0,Pelé,Brazil,4.0,6,6.0,,,,,6,4,6,,,
1974,West Germany,Johan Cruyff,Netherlands,Grzegorz Lato,Poland,7,,,,,,,Andrzej Szarmach,Poland,5.0,Johan Neeskens,Netherlands,5.0,7,3.0,,,,,7,6,7,,,
