year,date,round,home_team,away_team,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_second_yellow_reds,away_second_yellow_reds,data_available,total_yellow_cards,total_red_cards
2022,2022-12-18,Final,Argentina,France,5,3,0,0,0.0,0.0,True,8,0
2022,2022-12-17,Third-place match,Croatia,Morocco,0,2,0,0,0.0,0.0,True,2,0
2022,2022-12-14,Semi-finals,France,Morocco,0,1,0,0,0.0,0.0,True,1,0
2022,2022-12-13,Semi-finals,Argentina,Croatia,2,2,0,0,0.0,0.0,True,4,0
2022,2022-12-10,Quarter-finals,Morocco,Portugal,2,1,0,0,1.0,0.0,True,3,0
2022,2022-12-10,Quarter-finals,England,France,1,3,0,0,0.0,0.0,True,4,0
2022,2022-12-09,Quarter-finals,Croatia,Brazil,2,3,0,0,0.0,0.0,True,5,0
2022,2022-12-09,Quarter-finals,Netherlands,Argentina,7,10,0,0,1.0,0.0,True,17,0
2022,2022-12-06,Round of 16,Morocco,Spain,1,1,0,0,0.0,0.0,True,2,0
2022,2022-12-06,Round of 16,Portugal,Switzerland,0,2,0,0,0.0,0.0,True,2,0
2022,2022-12-05,Round of 16,Japan,Croatia,0,2,0,0,0.0,0.0,True,2,0
2022,2022-12-05,Round of 16,Brazil,Korea Republic,0,1,0,0,0.0,0.0,True,1,0
2022,2022-12-04,Round of 16,France,Poland,1,2,0,0,0.0,0.0,True,3,0
2022,2022-12-04,Round of 16,England,Senegal,0,1,0,0,0.0,0.0,True,1,0
2022,2022-12-03,Round of 16,Netherlands,United States,2,0,0,0,0.0,0.0,True,2,0
2022,2022-12-03,Round of 16,Argentina,Australia,0,2,0,0,0.0,0.0,True,2,0
2022,2022-12-02,Group stage,Korea Republic,Portugal,2,0,0,0,0.0,0.0,True,2,0
2022,2022-12-02,Group stage,Ghana,Uruguay,2,5,0,0,0.0,0.0,True,7,0
2022,2022-12-02,Group stage,Cameroon,Brazil,4,2,0,0,1.0,0.0,True,6,0
2022,2022-12-02,Group stage,Serbia,Switzerland,7,4,0,0,0.0,0.0,True,11,0
2022,2022-12-01,Group stage,Canada,Morocco,4,0,0,0,0.0,0.0,True,4,0
2022,2022-12-01,Group stage,Croatia,Belgium,0,1,0,0,0.0,0.0,True,1,0
2022,2022-12-01,Group stage,Costa Rica,Germany,1,0,0,0,0.0,0.0,True,1,0
2022,2022-12-01,Group stage,Japan,Spain,3,0,0,0,0.0,0.0,True,3,0
2022,2022-11-30,Group stage,Australia,Denmark,2,1,0,0,0.0,0.0,True,3,0
2022,2022-11-30,Group stage,Tunisia,France,1,0,0,0,0.0,0.0,True,1,0
2022,2022-11-30,Group stage,Saudi Arabia,Mexico,6,1,0,0,0.0,0.0,True,7,0
2022,2022-11-30,Group stage,Poland,Argentina,1,1,0,0,0.0,0.0,True,2,0
2022,2022-11-29,Group stage,Ecuador,Senegal,0,1,0,0,0.0,0.0,True,1,0
2022,2022-11-29,Group stage,Netherlands,Qatar,1,0,0,0,0.0,0.0,True,1,0
2022,2022-11-29,Group stage,IR Iran,United States,3,1,0,0,0.0,0.0,True,4,0
2022,2022-11-29,Group stage,Wales,England,2,0,0,0,0.0,0.0,True,2,0
2022,2022-11-28,Group stage,Cameroon,Serbia,2,2,0,0,0.0,0.0,True,4,0
2022,2022-11-28,Group stage,Korea Republic,Ghana,2,2,1,0,0.0,0.0,True,4,1
2022,2022-11-28,Group stage,Brazil,Switzerland,1,1,0,0,0.0,0.0,True,2,0
2022,2022-11-28,Group stage,Portugal,Uruguay,3,2,0,0,0.0,0.0,True,5,0
2022,2022-11-27,Group stage,Japan,Costa Rica,3,3,0,0,0.0,0.0,True,6,0
2022,2022-11-27,Group stage,Belgium,Morocco,1,1,0,0,0.0,0.0,True,2,0
2022,2022-11-27,Group stage,Croatia,Canada,2,2,0,0,0.0,0.0,True,4,0
2022,2022-11-27,Group stage,Spain,Germany,1,3,0,0,0.0,0.0,True,4,0
2022,2022-11-26,Group stage,Tunisia,Australia,3,0,0,0,0.0,0.0,True,3,0
2022,2022-11-26,Group stage,Poland,Saudi Arabia,3,2,0,0,0.0,0.0,True,5,0
2022,2022-11-26,Group stage,France,Denmark,1,2,0,0,0.0,0.0,True,3,0
2022,2022-11-26,Group stage,Argentina,Mexico,1,4,0,0,0.0,0.0,True,5,0
2022,2022-11-25,Group stage,Wales,IR Iran,1,2,1,0,0.0,0.0,True,3,1
2022,2022-11-25,Group stage,Qatar,Senegal,3,3,0,0,0.0,0.0,True,6,0
2022,2022-11-25,Group stage,Netherlands,Ecuador,0,1,0,0,0.0,0.0,True,1,0
2022,2022-11-25,Group stage,England,United States,0,0,0,0,0.0,0.0,False,0,0
2022,2022-11-24,Group stage,Switzerland,Cameroon,2,1,0,0,0.0,0.0,True,3,0
2022,2022-11-24,Group stage,Uruguay,Korea Republic,1,2,0,0,0.0,0.0,True,3,0
2022,2022-11-24,Group stage,Portugal,Ghana,2,4,0,0,0.0,0.0,True,6,0
2022,2022-11-24,Group stage,Brazil,Serbia,0,3,0,0,0.0,0.0,True,3,0
2022,2022-11-23,Group stage,Morocco,Croatia,1,0,0,0,0.0,0.0,True,1,0
2022,2022-11-23,Group stage,Germany,Japan,0,0,0,0,0.0,0.0,False,0,0
2022,2022-11-23,Group stage,Spain,Costa Rica,0,2,0,0,0.0,0.0,True,2,0
2022,2022-11-23,Group stage,Belgium,Canada,3,2,0,0,0.0,0.0,True,5,0
2022,2022-11-22,Group stage,Argentina,Saudi Arabia,0,6,0,0,0.0,0.0,True,6,0
2022,2022-11-22,Group stage,Denmark,Tunisia,2,1,0,0,0.0,0.0,True,3,0
2022,2022-11-22,Group stage,Mexico,Poland,2,1,0,0,0.0,0.0,True,3,0
2022,2022-11-22,Group stage,France,Australia,0,3,0,0,0.0,0.0,True,3,0
2022,2022-11-21,Group stage,England,IR Iran,0,2,0,0,0.0,0.0,True,2,0
2022,2022-11-21,Group stage,Senegal,Netherlands,2,1,0,0,0.0,0.0,True,3,0
2022,2022-11-21,Group stage,United States,Wales,4,2,0,0,0.0,0.0,True,6,0
2022,2022-11-20,Group stage,Qatar,Ecuador,4,2,0,0,0.0,0.0,True,6,0
2018,2018-07-15,Final,France,Croatia,2,1,0,0,0.0,0.0,True,3,0
2018,2018-07-14,Third-place match,Belgium,England,1,2,0,0,0.0,0.0,True,3,0
2018,2018-07-11,Semi-finals,Croatia,England,2,1,0,0,0.0,0.0,True,3,0
2018,2018-07-10,Semi-finals,France,Belgium,2,3,0,0,0.0,0.0,True,5,0
2018,2018-07-07,Quarter-finals,Sweden,England,2,1,0,0,0.0,0.0,True,3,0
2018,2018-07-07,Quarter-finals,Russia,Croatia,1,4,0,0,0.0,0.0,True,5,0
2018,2018-07-06,Quarter-finals,Uruguay,France,2,2,0,0,0.0,0.0,True,4,0
2018,2018-07-06,Quarter-finals,Brazil,Belgium,2,2,0,0,0.0,0.0,True,4,0
2018,2018-07-03,Round of 16,Sweden,Switzerland,1,2,0,1,0.0,0.0,True,3,1
2018,2018-07-03,Round of 16,Colombia,England,6,2,0,0,0.0,0.0,True,8,0
2018,2018-07-02,Round of 16,Brazil,Mexico,2,4,0,0,0.0,0.0,True,6,0
2018,2018-07-02,Round of 16,Belgium,Japan,0,1,0,0,0.0,0.0,True,1,0
2018,2018-07-01,Round of 16,Spain,Russia,1,2,0,0,0.0,0.0,True,3,0
2018,2018-07-01,Round of 16,Croatia,Denmark,0,1,0,0,0.0,0.0,True,1,0
2018,2018-06-30,Round of 16,France,Argentina,3,5,0,0,0.0,0.0,True,8,0
2018,2018-06-30,Round of 16,Uruguay,Portugal,0,1,0,0,0.0,0.0,True,1,0
2018,2018-06-28,Group stage,Japan,Poland,1,0,0,0,0.0,0.0,True,1,0
2018,2018-06-28,Group stage,Senegal,Colombia,1,1,0,0,0.0,0.0,True,2,0
2018,2018-06-28,Group stage,England,Belgium,0,2,0,0,0.0,0.0,True,2,0
2018,2018-06-28,Group stage,Panama,Tunisia,3,3,0,0,0.0,0.0,True,6,0
2018,2018-06-27,Group stage,Korea Republic,Germany,4,0,0,0,0.0,0.0,True,4,0
2018,2018-06-27,Group stage,Mexico,Sweden,3,2,0,0,0.0,0.0,True,5,0
2018,2018-06-27,Group stage,Switzerland,Costa Rica,3,3,0,0,0.0,0.0,True,6,0
2018,2018-06-27,Group stage,Serbia,Brazil,3,0,0,0,0.0,0.0,True,3,0
2018,2018-06-26,Group stage,Australia,Peru,4,2,0,0,0.0,0.0,True,6,0
