column,dtype,missing,unique
year,int64,0,23
host_country,object,0,19
round,object,0,13
stage_type,object,0,2
date,object,0,412
home_team,object,0,89
away_team,object,0,93
home_score,float64,0,11
away_score,float64,0,8
total_goals,float64,0,13
goal_diff,float64,0,16
result,object,0,5
winner,object,0,70
home_xg,float64,940,35
away_xg,float64,940,31
home_penalty_shootout,float64,1029,6
away_penalty_shootout,float64,1029,6
venue,object,0,222
attendance,int64,0,786
referee,object,255,349
home_manager,object,0,377
away_manager,object,0,420
home_captain,object,320,332
away_captain,object,320,395
notes,object,986,27
