tournament_year,tournament_name,team,team_code,player_name,position,age,birth_year,goals
1930,1930 FIFA World Cup,Argentina,ARG,Ángel Bossio,GK,25.0,1905.0,0.0
1930,1930 FIFA World Cup,Argentina,ARG,Juan Botasso,GK,21.0,1908.0,0.0
1930,1930 FIFA World Cup,Argentina,ARG,Roberto Cherro,FW,23.0,1907.0,0.0
1930,1930 FIFA World Cup,Argentina,ARG,Alberto Chividini,DF,23.0,1907.0,0.0
1930,1930 FIFA World Cup,Argentina,ARG,José Della Torre,DF,24.0,1906.0,0.0
1930,1930 FIFA World Cup,Argentina,ARG,Attilio Demaría,FW,21.0,1909.0,0.0
1930,1930 FIFA World Cup,Argentina,ARG,Juan Evaristo,MF,28.0,1902.0,0.0
1930,1930 FIFA World Cup,Argentina,ARG,Mario Evaristo,FW,21.0,1908.0,1.0
1930,1930 FIFA World Cup,Argentina,ARG,Manuel Ferreira,FW,24.0,1905.0,0.0
1930,1930 FIFA World Cup,Argentina,ARG,Luis Monti,MF,29.0,1901.0,2.0
1930,1930 FIFA World Cup,Argentina,ARG,Ramón Muttis,DF,31.0,1899.0,0.0
1930,1930 FIFA World Cup,Argentina,ARG,Rodolfo Orlandini,MF,25.0,1905.0,0.0
1930,1930 FIFA World Cup,Argentina,ARG,Fernando Paternoster,DF,27.0,1903.0,0.0
1930,1930 FIFA World Cup,Argentina,ARG,Natalio Perinetti,FW,29.0,1900.0,0.0
1930,1930 FIFA World Cup,Argentina,ARG,Carlos Peucelle,FW,21.0,1908.0,3.0
1930,1930 FIFA World Cup,Argentina,ARG,Edmundo Piaggio,DF,24.0,1905.0,0.0
1930,1930 FIFA World Cup,Argentina,ARG,Alejandro Scopelli,FW,22.0,1908.0,1.0
1930,1930 FIFA World Cup,Argentina,ARG,Carlos Spadaro,FW,28.0,1902.0,0.0
1930,1930 FIFA World Cup,Argentina,ARG,Guillermo Stábile,FW,25.0,1905.0,8.0
1930,1930 FIFA World Cup,Argentina,ARG,Arico Suárez,MF,22.0,1908.0,0.0
1930,1930 FIFA World Cup,Argentina,ARG,Francisco Varallo,FW,20.0,1910.0,1.0
1930,1930 FIFA World Cup,Argentina,ARG,Adolfo Zumelzú,MF,28.0,1902.0,2.0
1930,1930 FIFA World Cup,Belgium,BEL,Ferdinand Adams,FW,27.0,1903.0,0.0
1930,1930 FIFA World Cup,Belgium,BEL,Arnold Badjou,GK,21.0,1909.0,0.0
1930,1930 FIFA World Cup,Belgium,BEL,Pierre Braine,MF,29.0,1900.0,0.0
1930,1930 FIFA World Cup,Belgium,BEL,Alexis Chantraine,MF,29.0,1901.0,0.0
1930,1930 FIFA World Cup,Belgium,BEL,Jean De Bie,GK,38.0,1892.0,0.0
1930,1930 FIFA World Cup,Belgium,BEL,Jean De Clercq,MF,25.0,1905.0,0.0
1930,1930 FIFA World Cup,Belgium,BEL,Henri De Deken,DF,22.0,1907.0,0.0
1930,1930 FIFA World Cup,Belgium,BEL,Gérard Delbeke,MF,26.0,1903.0,0.0
1930,1930 FIFA World Cup,Belgium,BEL,Jan Diddens,FW,21.0,1908.0,0.0
1930,1930 FIFA World Cup,Belgium,BEL,August Hellemans,MF,22.0,1907.0,0.0
1930,1930 FIFA World Cup,Belgium,BEL,Nic Hoydonckx,DF,29.0,1900.0,0.0
1930,1930 FIFA World Cup,Belgium,BEL,Jacques Moeschal,FW,29.0,1900.0,0.0
1930,1930 FIFA World Cup,Belgium,BEL,Theodore Nouwens,DF,22.0,1908.0,0.0
1930,1930 FIFA World Cup,Belgium,BEL,André Saeys,FW,19.0,1911.0,0.0
1930,1930 FIFA World Cup,Belgium,BEL,Louis Versyp,FW,21.0,1908.0,0.0
1930,1930 FIFA World Cup,Belgium,BEL,Bernard Voorhoof,FW,20.0,1910.0,0.0
1930,1930 FIFA World Cup,Bolivia,BOL,Mario Alborta,FW,19.0,1910.0,0.0
1930,1930 FIFA World Cup,Bolivia,BOL,Juan Argote,MF,23.0,1906.0,0.0
1930,1930 FIFA World Cup,Bolivia,BOL,Jesús Bermúdez,GK,28.0,1902.0,0.0
1930,1930 FIFA World Cup,Bolivia,BOL,Miguel Brito,MF,29.0,1901.0,0.0
1930,1930 FIFA World Cup,Bolivia,BOL,José Bustamante,FW,23.0,1907.0,0.0
1930,1930 FIFA World Cup,Bolivia,BOL,Casiano Chavarría,DF,28.0,1901.0,0.0
1930,1930 FIFA World Cup,Bolivia,BOL,Segundo Durandal,DF,18.0,1912.0,0.0
1930,1930 FIFA World Cup,Bolivia,BOL,René Fernández,FW,24.0,1906.0,0.0
1930,1930 FIFA World Cup,Bolivia,BOL,Gumercindo Gómez,FW,23.0,1907.0,0.0
1930,1930 FIFA World Cup,Bolivia,BOL,Diógenes Lara,MF,27.0,1903.0,0.0
1930,1930 FIFA World Cup,Bolivia,BOL,Rafael Méndez,FW,26.0,1904.0,0.0
1930,1930 FIFA World Cup,Bolivia,BOL,Miguel Murillo,GK,32.0,1898.0,0.0
1930,1930 FIFA World Cup,Bolivia,BOL,Constantino Noya,MF,,,0.0
1930,1930 FIFA World Cup,Bolivia,BOL,Eduardo Reyes Ortiz,FW,23.0,1907.0,0.0
1930,1930 FIFA World Cup,Bolivia,BOL,Luis Reyes Peñaranda,DF,19.0,1911.0,0.0
1930,1930 FIFA World Cup,Bolivia,BOL,Renato Sáinz,MF,30.0,1899.0,0.0
1930,1930 FIFA World Cup,Bolivia,BOL,Jorge Valderrama,MF,23.0,1906.0,0.0
1930,1930 FIFA World Cup,Brazil,BRA,Araken,FW,24.0,1905.0,0.0
1930,1930 FIFA World Cup,Brazil,BRA,Benedicto,FW,23.0,1906.0,0.0
1930,1930 FIFA World Cup,Brazil,BRA,Benvenuto,MF,26.0,1903.0,0.0
1930,1930 FIFA World Cup,Brazil,BRA,Brilhante,DF,25.0,1904.0,0.0
1930,1930 FIFA World Cup,Brazil,BRA,Doca,FW,27.0,1903.0,0.0
1930,1930 FIFA World Cup,Brazil,BRA,Fausto,DF,25.0,1905.0,0.0
1930,1930 FIFA World Cup,Brazil,BRA,Fernando,MF,24.0,1906.0,0.0
1930,1930 FIFA World Cup,Brazil,BRA,Fortes,MF,28.0,1901.0,0.0
1930,1930 FIFA World Cup,Brazil,BRA,Hermógenes,DF,21.0,1908.0,0.0
1930,1930 FIFA World Cup,Brazil,BRA,Itália,DF,23.0,1907.0,0.0
1930,1930 FIFA World Cup,Brazil,BRA,Joel,GK,26.0,1904.0,0.0
1930,1930 FIFA World Cup,Brazil,BRA,Carvalho Leite,FW,18.0,1912.0,0.0
1930,1930 FIFA World Cup,Brazil,BRA,Manoelzinho,FW,22.0,1907.0,0.0
1930,1930 FIFA World Cup,Brazil,BRA,Ivan Mariz,MF,20.0,1910.0,0.0
1930,1930 FIFA World Cup,Brazil,BRA,Moderato,FW,27.0,1902.0,2.0
1930,1930 FIFA World Cup,Brazil,BRA,Nilo,FW,27.0,1903.0,0.0
1930,1930 FIFA World Cup,Brazil,BRA,Oscarino,MF,23.0,1907.0,0.0
1930,1930 FIFA World Cup,Brazil,BRA,Pamplona,MF,26.0,1904.0,0.0
1930,1930 FIFA World Cup,Brazil,BRA,Poly,FW,21.0,1909.0,0.0
1930,1930 FIFA World Cup,Brazil,BRA,Preguinho,FW,25.0,1905.0,3.0
1930,1930 FIFA World Cup,Brazil,BRA,Russinho,FW,27.0,1902.0,0.0
1930,1930 FIFA World Cup,Brazil,BRA,Teóphilo,FW,30.0,1900.0,0.0
1930,1930 FIFA World Cup,Brazil,BRA,Velloso,GK,21.0,1908.0,0.0
1930,1930 FIFA World Cup,Brazil,BRA,Zé Luiz,DF,25.0,1904.0,0.0
1930,1930 FIFA World Cup,Chile,CHL,Juan Aguilera,FW,26.0,1903.0,0.0
1930,1930 FIFA World Cup,Chile,CHL,Guillermo Arellano,FW,21.0,1908.0,0.0
1930,1930 FIFA World Cup,Chile,CHL,Ernesto Chaparro,DF,29.0,1901.0,0.0
1930,1930 FIFA World Cup,Chile,CHL,Arturo Coddou,MF,25.0,1905.0,0.0
1930,1930 FIFA World Cup,Chile,CHL,Roberto Cortés,GK,25.0,1905.0,0.0
1930,1930 FIFA World Cup,Chile,CHL,Humberto Elgueta,MF,25.0,1904.0,0.0
1930,1930 FIFA World Cup,Chile,CHL,César Espinoza,GK,29.0,1900.0,0.0
1930,1930 FIFA World Cup,Chile,CHL,Víctor Morales,DF,25.0,1905.0,0.0
1930,1930 FIFA World Cup,Chile,CHL,Horacio Muñoz,FW,30.0,1900.0,0.0
1930,1930 FIFA World Cup,Chile,CHL,Tomás Ojeda,FW,20.0,1910.0,0.0
1930,1930 FIFA World Cup,Chile,CHL,Ulises Poirier,DF,33.0,1897.0,0.0
1930,1930 FIFA World Cup,Chile,CHL,Guillermo Riveros,DF,28.0,1902.0,0.0
1930,1930 FIFA World Cup,Chile,CHL,Guillermo Saavedra,MF,26.0,1903.0,0.0
1930,1930 FIFA World Cup,Chile,CHL,Carlos Schneeberger,FW,28.0,1902.0,0.0
1930,1930 FIFA World Cup,Chile,CHL,Guillermo Subiabre,FW,28.0,1902.0,2.0
1930,1930 FIFA World Cup,Chile,CHL,Arturo Torres,MF,23.0,1906.0,0.0
1930,1930 FIFA World Cup,Chile,CHL,Casimiro Torres,MF,24.0,1906.0,0.0
