team,confederation,continent,note
Algeria,CAF,Africa,
Angola,CAF,Africa,
Argentina,CONMEBOL,South America,
Australia,AFC,Oceania/Asia,"OFC member until 2006; AFC (Asia) from 2006 onward — all Australia WC appearances 2006+ are AFC, 1974 appearance was OFC."
Austria,UEFA,Europe,
Belgium,UEFA,Europe,
Bolivia,CONMEBOL,South America,
Bosnia and Herzegovina,UEFA,Europe,
Bosnia–Herz,UEFA,Europe,
Brazil,CONMEBOL,South America,
Bulgaria,UEFA,Europe,
Cabo Verde,CAF,Africa,
Cameroon,CAF,Africa,
Canada,CONCACAF,North America,
Chile,CONMEBOL,South America,
China PR,AFC,Asia,
Colombia,CONMEBOL,South America,
Congo DR,CAF,Africa,
Costa Rica,CONCACAF,North America,
Croatia,UEFA,Europe,
Cuba,CONCACAF,North America,
Curaçao,CONCACAF,North America,
Czech Republic,UEFA,Europe,
Czechia,UEFA,Europe,
Czechoslovakia,UEFA,Europe,
Côte d'Ivoire,CAF,Africa,
Denmark,UEFA,Europe,
Dutch East Indies,AFC,Asia,
Ecuador,CONMEBOL,South America,
Egypt,CAF,Africa,
El Salvador,CONCACAF,North America,
England,UEFA,Europe,
FR Yugoslavia,UEFA,Europe,
France,UEFA,Europe,
Germany,UEFA,Europe,
Germany DR,UEFA,Europe,
Ghana,CAF,Africa,
Greece,UEFA,Europe,
Haiti,CONCACAF,North America,
Honduras,CONCACAF,North America,
Hungary,UEFA,Europe,
IR Iran,AFC,Asia,
Iceland,UEFA,Europe,
Iraq,AFC,Asia,
Israel,UEFA,Europe,"AFC member until 1974 (expelled from AFC in 1974); competed in the Oceania/UEFA qualifying zones after, formally joined UEFA in 1994."
Italy,UEFA,Europe,
Jamaica,CONCACAF,North America,
Japan,AFC,Asia,
Jordan,AFC,Asia,
Korea DPR,AFC,Asia,
Korea Republic,AFC,Asia,
Kuwait,AFC,Asia,
Mexico,CONCACAF,North America,
Morocco,CAF,Africa,
Netherlands,UEFA,Europe,
New Zealand,OFC,Oceania,
Nigeria,CAF,Africa,
Northern Ireland,UEFA,Europe,
Norway,UEFA,Europe,
Panama,CONCACAF,North America,
Paraguay,CONMEBOL,South America,
Peru,CONMEBOL,South America,
Poland,UEFA,Europe,
Portugal,UEFA,Europe,
Qatar,AFC,Asia,
Republic of Ireland,UEFA,Europe,
Romania,UEFA,Europe,
Russia,UEFA,Europe,
Saudi Arabia,AFC,Asia,
Scotland,UEFA,Europe,
Senegal,CAF,Africa,
Serbia,UEFA,Europe,
Serbia and Montenegro,UEFA,Europe,
Slovakia,UEFA,Europe,
Slovenia,UEFA,Europe,
South Africa,CAF,Africa,
Soviet Union,UEFA,Europe,
Spain,UEFA,Europe,
Sweden,UEFA,Europe,
Switzerland,UEFA,Europe,
Togo,CAF,Africa,
Trinidad and Tobago,CONCACAF,North America,
Tunisia,CAF,Africa,
Türkiye,UEFA,Europe,
Ukraine,UEFA,Europe,
United Arab Emirates,AFC,Asia,
United States,CONCACAF,North America,
Uruguay,CONMEBOL,South America,
Uzbekistan,AFC,Asia,
Wales,UEFA,Europe,
West Germany,UEFA,Europe,
Yugoslavia,UEFA,Europe,
Zaire,CAF,Africa,
