year,host,golden_ball_player,golden_ball_country,golden_boot_player,golden_boot_country,golden_boot_goals,golden_glove_player,golden_glove_country,golden_boot_matches
1930,Uruguay,José Nasazzi,Uruguay,Guillermo Stábile,Argentina,8,,,
1934,Italy,Giuseppe Meazza,Italy,Oldřich Nejedlý,Czechoslovakia,5,,,
1938,France,Leônidas,Brazil,Leônidas,Brazil,8,,,
1950,Brazil,Zizinho,Brazil,Ademir,Brazil,9,,,
1954,Switzerland,Ferenc Puskás,Hungary,Sándor Kocsis,Hungary,11,,,
1958,Sweden,Didi,Brazil,Just Fontaine,France,13,,,
1962,Chile,Garrincha,Brazil,Garrincha|Vavá|Flórián Albert|Valentin Ivanov|Dražan Jerković|Leonel Sánchez,Brazil|Brazil|Hungary|Soviet Union|Yugoslavia|Chile,4,,,
1966,England,Bobby Charlton,England,Eusébio,Portugal,9,,,
1970,Mexico,Pelé,Brazil,Gerd Müller,West Germany,10,,,
1974,West Germany,Johan Cruyff,Netherlands,Grzegorz Lato,Poland,7,,,
1978,Argentina,Mario Kempes,Argentina,Mario Kempes,Argentina,6,,,
1982,Spain,Paolo Rossi,Italy,Paolo Rossi,Italy,6,,,
1986,Mexico,Diego Maradona,Argentina,Gary Lineker,England,6,,,
1990,Italy,Salvatore Schillaci,Italy,Salvatore Schillaci,Italy,6,,,
1994,United States,Romário,Brazil,Oleg Salenko & Hristo Stoichkov,Russia / Bulgaria,6,Michel Preud'homme,Belgium,
1998,France,Ronaldo,Brazil,Davor Šuker,Croatia,6,Fabien Barthez,France,
2002,South Korea/Japan,Oliver Kahn,Germany,Ronaldo,Brazil,8,Oliver Kahn,Germany,
2006,Germany,Zinedine Zidane,France,Miroslav Klose,Germany,5,Gianluigi Buffon,Italy,
2010,South Africa,Diego Forlán,Uruguay,Thomas Müller,Germany,5,Iker Casillas,Spain,
2014,Brazil,Lionel Messi,Argentina,James Rodríguez,Colombia,6,Manuel Neuer,Germany,
2018,Russia,Luka Modrić,Croatia,Harry Kane,England,6,Thibaut Courtois,Belgium,
2022,Qatar,Lionel Messi,Argentina,Kylian Mbappé,France,8,Emiliano Martínez,Argentina,
2026,Canada/Mexico/USA,Rodri,Spain,Kylian Mbappé,France,10,Unai Simón,Spain,
