year,date,round,home_team,away_team,team,player,minute,minute_numeric,goal_type
2026,2026-06-11,Group stage,Mexico,South Africa,Mexico,Julián Quiñones,9,9.0,Normal
2026,2026-06-11,Group stage,Mexico,South Africa,Mexico,Raúl Jiménez,67,67.0,Normal
2026,2026-06-11,Group stage,South Korea,Czech Republic,Czech Republic,Ladislav Krejčí,59,59.0,Normal
2026,2026-06-11,Group stage,South Korea,Czech Republic,South Korea,Hwang In-beom,67,67.0,Normal
2026,2026-06-11,Group stage,South Korea,Czech Republic,South Korea,Oh Hyeon-gyu,80,80.0,Normal
2026,2026-06-12,Group stage,Canada,Bosnia and Herzegovina,Bosnia and Herzegovina,Jovo Lukić,21,21.0,Normal
2026,2026-06-12,Group stage,Canada,Bosnia and Herzegovina,Canada,Cyle Larin,78,78.0,Normal
2026,2026-06-12,Group stage,United States,Paraguay,United States,Damian Bobadilla,7,7.0,Own Goal
2026,2026-06-12,Group stage,United States,Paraguay,United States,Folarin Balogun,31,31.0,Normal
2026,2026-06-12,Group stage,United States,Paraguay,United States,Folarin Balogun,45+5,50.0,Normal
2026,2026-06-12,Group stage,United States,Paraguay,Paraguay,Mauricio,73,73.0,Normal
2026,2026-06-12,Group stage,United States,Paraguay,United States,Giovanni Reyna,90+8,98.0,Normal
2026,2026-06-13,Group stage,Qatar,Switzerland,Switzerland,Breel Embolo,17,17.0,Penalty
2026,2026-06-13,Group stage,Qatar,Switzerland,Qatar,Miro Muheim,90+4,94.0,Own Goal
2026,2026-06-13,Group stage,Brazil,Morocco,Morocco,Ismael Saibari,21,21.0,Normal
2026,2026-06-13,Group stage,Brazil,Morocco,Brazil,Vinícius Júnior,32,32.0,Normal
2026,2026-06-13,Group stage,Haiti,Scotland,Scotland,John McGinn,28,28.0,Normal
2026,2026-06-13,Group stage,Australia,Turkey,Australia,Nestory Irankunda,27,27.0,Normal
2026,2026-06-13,Group stage,Australia,Turkey,Australia,Connor Metcalfe,75,75.0,Normal
2026,2026-06-14,Group stage,Germany,Curacao,Germany,Felix Nmecha,6,6.0,Normal
2026,2026-06-14,Group stage,Germany,Curacao,Curacao,Livano Comenencia,21,21.0,Normal
2026,2026-06-14,Group stage,Germany,Curacao,Germany,Nico Schlotterbeck,38,38.0,Normal
2026,2026-06-14,Group stage,Germany,Curacao,Germany,Kai Havertz,45+5,50.0,Penalty
2026,2026-06-14,Group stage,Germany,Curacao,Germany,Jamal Musiala,47,47.0,Normal
2026,2026-06-14,Group stage,Germany,Curacao,Germany,Nathaniel Brown,68,68.0,Normal
2026,2026-06-14,Group stage,Germany,Curacao,Germany,Deniz Undav,78,78.0,Normal
2026,2026-06-14,Group stage,Germany,Curacao,Germany,Kai Havertz,88,88.0,Normal
2026,2026-06-14,Group stage,Ivory Coast,Ecuador,Ivory Coast,Amad Diallo,90,90.0,Normal
2026,2026-06-14,Group stage,Netherlands,Japan,Netherlands,Virgil van Dijk,50,50.0,Normal
2026,2026-06-14,Group stage,Netherlands,Japan,Japan,Keito Nakamura,57,57.0,Normal
2026,2026-06-14,Group stage,Netherlands,Japan,Netherlands,Crysencio Summerville,64,64.0,Normal
2026,2026-06-14,Group stage,Netherlands,Japan,Japan,Daichi Kamada,89,89.0,Normal
2026,2026-06-14,Group stage,Sweden,Tunisia,Sweden,Yasin Ayari,7,7.0,Normal
2026,2026-06-14,Group stage,Sweden,Tunisia,Sweden,Alexander Isak,30,30.0,Normal
2026,2026-06-14,Group stage,Sweden,Tunisia,Tunisia,Omar Rekik,43,43.0,Normal
2026,2026-06-14,Group stage,Sweden,Tunisia,Sweden,Viktor Gyökeres,59,59.0,Normal
2026,2026-06-14,Group stage,Sweden,Tunisia,Sweden,Mattias Svanberg,84,84.0,Normal
2026,2026-06-14,Group stage,Sweden,Tunisia,Sweden,Yasin Ayari,90+6,96.0,Normal
2026,2026-06-15,Group stage,Belgium,Egypt,Egypt,Emam Ashour,20,20.0,Normal
2026,2026-06-15,Group stage,Belgium,Egypt,Belgium,Mohamed Hany,66,66.0,Own Goal
2026,2026-06-15,Group stage,Saudi Arabia,Uruguay,Saudi Arabia,Abdulelah Al-Amri,41,41.0,Normal
2026,2026-06-15,Group stage,Saudi Arabia,Uruguay,Uruguay,Maximiliano Araújo,80,80.0,Normal
2026,2026-06-16,Group stage,Iran,New Zealand,New Zealand,Elijah Just,7,7.0,Normal
2026,2026-06-16,Group stage,Iran,New Zealand,Iran,Ramin Rezaeian,32,32.0,Normal
2026,2026-06-16,Group stage,Iran,New Zealand,New Zealand,Elijah Just,54,54.0,Normal
2026,2026-06-16,Group stage,Iran,New Zealand,Iran,Mohammad Mohebi,64,64.0,Normal
2026,2026-06-16,Group stage,France,Senegal,France,Kylian Mbappé,66,66.0,Normal
2026,2026-06-16,Group stage,France,Senegal,France,Bradley Barcola,82,82.0,Normal
2026,2026-06-16,Group stage,France,Senegal,Senegal,Ibrahim Mbaye,90+5,95.0,Normal
2026,2026-06-16,Group stage,France,Senegal,France,Kylian Mbappé,90+6,96.0,Normal
2026,2026-06-16,Group stage,Iraq,Norway,Norway,Erling Haaland,29,29.0,Normal
2026,2026-06-16,Group stage,Iraq,Norway,Iraq,Aymen Hussein,39,39.0,Normal
2026,2026-06-16,Group stage,Iraq,Norway,Norway,Erling Haaland,43,43.0,Normal
2026,2026-06-16,Group stage,Iraq,Norway,Norway,Leo Østigård,76,76.0,Normal
2026,2026-06-16,Group stage,Iraq,Norway,Norway,Aymen Hussein,90+6,96.0,Own Goal
2026,2026-06-16,Group stage,Argentina,Algeria,Argentina,Lionel Messi,17,17.0,Normal
2026,2026-06-16,Group stage,Argentina,Algeria,Argentina,Lionel Messi,60,60.0,Normal
2026,2026-06-16,Group stage,Argentina,Algeria,Argentina,Lionel Messi,76,76.0,Normal
2026,2026-06-16,Group stage,Austria,Jordan,Austria,Romano Schmid,20,20.0,Normal
2026,2026-06-16,Group stage,Austria,Jordan,Jordan,Ali Olwan,50,50.0,Normal
2026,2026-06-16,Group stage,Austria,Jordan,Austria,Yazan Al Arab,76,76.0,Own Goal
2026,2026-06-16,Group stage,Austria,Jordan,Austria,Marko Arnautović,90+12,102.0,Penalty
2026,2026-06-17,Group stage,Portugal,DR Congo,Portugal,João Neves,6,6.0,Normal
2026,2026-06-17,Group stage,Portugal,DR Congo,DR Congo,Yoane Wissa,45+3,48.0,Normal
2026,2026-06-17,Group stage,Uzbekistan,Colombia,Colombia,Daniel Muñoz,40,40.0,Normal
2026,2026-06-17,Group stage,Uzbekistan,Colombia,Uzbekistan,Abbosbek Fayzullaev,60,60.0,Normal
2026,2026-06-17,Group stage,Uzbekistan,Colombia,Colombia,Luis Díaz,65,65.0,Normal
2026,2026-06-17,Group stage,Uzbekistan,Colombia,Colombia,Jáminton Campaz,90+9,99.0,Normal
2026,2026-06-17,Group stage,England,Croatia,England,Harry Kane,12,12.0,Penalty
2026,2026-06-17,Group stage,England,Croatia,Croatia,Martin Baturina,36,36.0,Normal
2026,2026-06-17,Group stage,England,Croatia,England,Harry Kane,42,42.0,Normal
2026,2026-06-17,Group stage,England,Croatia,Croatia,Petar Musa,45+5,50.0,Normal
2026,2026-06-17,Group stage,England,Croatia,England,Jude Bellingham,47,47.0,Normal
2026,2026-06-17,Group stage,England,Croatia,England,Marcus Rashford,85,85.0,Normal
2026,2026-06-17,Group stage,Ghana,Panama,Ghana,Mohammed Kudus,64,64.0,Normal
2026,2026-06-18,Group stage,Czech Republic,South Africa,Czech Republic,Michal Sadílek,6,6.0,Normal
2026,2026-06-18,Group stage,Czech Republic,South Africa,South Africa,Teboho Mokoena,83,83.0,Penalty
2026,2026-06-18,Group stage,Mexico,South Korea,Mexico,Luis Romo,50,50.0,Normal
2026,2026-06-18,Group stage,Switzerland,Bosnia and Herzegovina,Bosnia and Herzegovina,Ermin Mahmić,90+3,93.0,Normal
