year,host_country,round,stage_type,date,home_team,away_team,home_score,away_score,total_goals,goal_diff,result,winner,home_xg,away_xg,home_penalty_shootout,away_penalty_shootout,venue,attendance,referee,home_manager,away_manager,home_captain,away_captain,notes
2022,Qatar,Final,Knockout,2022-12-18,Argentina,France,3.0,3.0,6.0,0.0,Home Win (pens),Argentina,3.3,2.2,4.0,2.0,"Lusail Iconic Stadium, Lusail",88966,Szymon Marciniak,Lionel Scaloni,Didier Deschamps,Lionel Messi,Hugo Lloris,Argentina won on penalty kicks following extra time
2022,Qatar,Third-place match,Knockout,2022-12-17,Croatia,Morocco,2.0,1.0,3.0,1.0,Home Win,Croatia,0.7,1.2,,,"Khalifa International Stadium, Doha",44137,Abdulrahman Ibrahim Al Jassim,Zlatko Dalić,Hoalid Regragui,Luka Modrić,Hakim Ziyech,
2022,Qatar,Semi-finals,Knockout,2022-12-14,France,Morocco,2.0,0.0,2.0,2.0,Home Win,France,2.0,0.9,,,"Al Bayt Stadium, Al Khor",68294,César Arturo Ramos,Didier Deschamps,Hoalid Regragui,Hugo Lloris,Romain Saïss,
2022,Qatar,Semi-finals,Knockout,2022-12-13,Argentina,Croatia,3.0,0.0,3.0,3.0,Home Win,Argentina,2.3,0.5,,,"Lusail Iconic Stadium, Lusail",88966,Daniele Orsato,Lionel Scaloni,Zlatko Dalić,Lionel Messi,Luka Modrić,
2022,Qatar,Quarter-finals,Knockout,2022-12-10,Morocco,Portugal,1.0,0.0,1.0,1.0,Home Win,Morocco,1.4,0.9,,,"Al Thumama Stadium, ath-Thumāma",44198,Facundo Tello,Hoalid Regragui,Fernando Santos,Romain Saïss,Pepe,
2022,Qatar,Quarter-finals,Knockout,2022-12-10,England,France,1.0,2.0,3.0,-1.0,Away Win,France,2.4,0.9,,,"Al Bayt Stadium, Al Khor",68895,Wilton Sampaio,Gareth Southgate,Didier Deschamps,Harry Kane,Hugo Lloris,
2022,Qatar,Quarter-finals,Knockout,2022-12-09,Croatia,Brazil,1.0,1.0,2.0,0.0,Home Win (pens),Croatia,0.6,2.5,4.0,2.0,"Education City Stadium, Doha",43893,Michael Oliver,Zlatko Dalić,Tite,Luka Modrić,Thiago Silva,Croatia won on penalty kicks following extra time
2022,Qatar,Quarter-finals,Knockout,2022-12-09,Netherlands,Argentina,2.0,2.0,4.0,0.0,Away Win (pens),Argentina,0.6,1.9,3.0,4.0,"Lusail Iconic Stadium, Lusail",88235,Antonio Matéu,Louis van Gaal,Lionel Scaloni,Virgil van Dijk,Lionel Messi,Argentina won on penalty kicks following extra time
2022,Qatar,Round of 16,Knockout,2022-12-06,Morocco,Spain,0.0,0.0,0.0,0.0,Home Win (pens),Morocco,0.7,1.0,3.0,0.0,"Education City Stadium, Doha",44667,Fernando Rapallini,Hoalid Regragui,Luis Enrique,Romain Saïss,Sergio Busquets,Morocco won on penalty kicks following extra time
2022,Qatar,Round of 16,Knockout,2022-12-06,Portugal,Switzerland,6.0,1.0,7.0,5.0,Home Win,Portugal,2.3,1.2,,,"Lusail Iconic Stadium, Lusail",83720,César Arturo Ramos,Fernando Santos,Murat Yakin,Pepe,Granit Xhaka,
2022,Qatar,Round of 16,Knockout,2022-12-05,Japan,Croatia,1.0,1.0,2.0,0.0,Away Win (pens),Croatia,1.2,1.4,1.0,3.0,"Al Janoub Stadium, Al Wakrah",42523,Ismail Elfath,Hajime Moriyasu,Zlatko Dalić,Maya Yoshida,Luka Modrić,Croatia won on penalty kicks following extra time
2022,Qatar,Round of 16,Knockout,2022-12-05,Brazil,Korea Republic,4.0,1.0,5.0,3.0,Home Win,Brazil,3.6,0.5,,,"Stadium 974, Doha",43847,Clément Turpin,Tite,Paulo Bento,Thiago Silva,Son Heung-min,
2022,Qatar,Round of 16,Knockout,2022-12-04,France,Poland,3.0,1.0,4.0,2.0,Home Win,France,1.4,1.7,,,"Al Thumama Stadium, ath-Thumāma",40989,Jesús Valenzuela,Didier Deschamps,Czesław Michniewicz,Hugo Lloris,Robert Lewandowski,
2022,Qatar,Round of 16,Knockout,2022-12-04,England,Senegal,3.0,0.0,3.0,3.0,Home Win,England,1.0,0.8,,,"Al Bayt Stadium, Al Khor",65985,Iván Barton,Gareth Southgate,Aliou Cissé,Harry Kane,Kalidou Koulibaly,
2022,Qatar,Round of 16,Knockout,2022-12-03,Netherlands,United States,3.0,1.0,4.0,2.0,Home Win,Netherlands,1.7,1.5,,,"Khalifa International Stadium, Doha",44846,Wilton Sampaio,Louis van Gaal,Gregg Berhalter,Virgil van Dijk,Tyler Adams,
2022,Qatar,Round of 16,Knockout,2022-12-03,Argentina,Australia,2.0,1.0,3.0,1.0,Home Win,Argentina,1.6,0.6,,,"Ahmed bin Ali Stadium, Umm al-Afā'ī",45032,Szymon Marciniak,Lionel Scaloni,Graham Arnold,Lionel Messi,Mathew Ryan,
2022,Qatar,Group stage,Group Stage,2022-12-02,Korea Republic,Portugal,2.0,1.0,3.0,1.0,Home Win,Korea Republic,1.7,1.3,,,"Education City Stadium, Doha",44097,Facundo Tello,Sérgio Costa,Fernando Santos,Son Heung-min,Cristiano Ronaldo,
2022,Qatar,Group stage,Group Stage,2022-12-02,Ghana,Uruguay,0.0,2.0,2.0,-2.0,Away Win,Uruguay,1.6,1.8,,,"Al Janoub Stadium, Al Wakrah",43443,Daniel Siebert,Otto Addo,Diego Alonso,André Ayew,Luis Suárez,
2022,Qatar,Group stage,Group Stage,2022-12-02,Cameroon,Brazil,1.0,0.0,1.0,1.0,Home Win,Cameroon,0.5,2.5,,,"Lusail Iconic Stadium, Lusail",85986,Ismail Elfath,Rigobert Song,Tite,Vincent Aboubakar,Dani Alves,
2022,Qatar,Group stage,Group Stage,2022-12-02,Serbia,Switzerland,2.0,3.0,5.0,-1.0,Away Win,Switzerland,1.3,2.7,,,"Stadium 974, Doha",41378,Fernando Rapallini,Dragan Stojković,Murat Yakin,Dušan Tadić,Granit Xhaka,
2022,Qatar,Group stage,Group Stage,2022-12-01,Canada,Morocco,1.0,2.0,3.0,-1.0,Away Win,Morocco,1.4,0.5,,,"Al Thumama Stadium, ath-Thumāma",43102,Raphael Claus,John Herdman,Hoalid Regragui,Milan Borjan,Romain Saïss,
2022,Qatar,Group stage,Group Stage,2022-12-01,Croatia,Belgium,0.0,0.0,0.0,0.0,Draw,Draw,0.7,3.0,,,"Ahmed bin Ali Stadium, Umm al-Afā'ī",43984,Anthony Taylor,Zlatko Dalić,Roberto Martínez,Luka Modrić,Kevin De Bruyne,
2022,Qatar,Group stage,Group Stage,2022-12-01,Costa Rica,Germany,2.0,4.0,6.0,-2.0,Away Win,Germany,1.3,5.7,,,"Al Bayt Stadium, Al Khor",67054,Stéphanie Frappart,Luis Fernando Suárez,Hansi Flick,Keylor Navas,Manuel Neuer,
